utr,order_reference,account_number,transaction_type,deposit_amount,gateway_charge_deducted,clearing_date,settlement_status,running_balance
UTR_ICICI_ZOM_1001,ZOM_1001,000405067890,CREDIT,418.76,2.49,2026-03-02,PROCESSED,250418.76
UTR_ICICI_ZOM_1003,ZOM_1003,000405067890,CREDIT,449.26,0.26,2026-03-04,PROCESSED,250868.02
UTR_ICICI_ZOM_1005,ZOM_1005,000405067890,CREDIT,275.44,2.62,2026-03-06,PROCESSED,251143.46
UTR_ICICI_ZOM_1007,ZOM_1007,000405067890,CREDIT,283.86,4.08,2026-03-08,PROCESSED,251427.32
UTR_ICICI_ZOM_1009,ZOM_1009,000405067890,CREDIT,793.15,4.71,2026-03-10,PROCESSED,252220.47
UTR_ICICI_ZOM_1011,ZOM_1011,000405067890,CREDIT,1185.34,7.03,2026-03-12,PROCESSED,253405.81
UTR_ICICI_ZOM_1013,ZOM_1013,000405067890,CREDIT,1375.77,8.17,2026-03-14,PROCESSED,254781.58
UTR_ICICI_ZOM_1015,ZOM_1015,000405067890,CREDIT,281.38,1.68,2026-03-16,PROCESSED,255062.96
UTR_ICICI_ZOM_1017,ZOM_1017,000405067890,CREDIT,1385.68,8.22,2026-03-18,PROCESSED,256448.64
UTR_ICICI_ZOM_1019,ZOM_1019,000405067890,CREDIT,954.52,0.57,2026-03-20,PROCESSED,257403.16
UTR_ICICI_ZOM_1021,ZOM_1021,000405067890,CREDIT,599.55,3.56,2026-03-22,PROCESSED,258002.71
UTR_ICICI_ZOM_1023,ZOM_1023,000405067890,CREDIT,786.42,4.67,2026-03-24,PROCESSED,258789.13
UTR_ICICI_ZOM_1025,ZOM_1025,000405067890,CREDIT,0.0,0.0,2026-03-01,CANCELLED,258789.13
UTR_ICICI_ZOM_1027,ZOM_1027,000405067890,CREDIT,584.84,8.4,2026-03-03,PROCESSED,259373.97
UTR_ICICI_ZOM_1029,ZOM_1029,000405067890,CREDIT,1378.3,19.8,2026-03-05,PROCESSED,260752.27
UTR_ICICI_ZOM_1031,ZOM_1031,000405067890,CREDIT,421.59,6.05,2026-03-07,PROCESSED,261173.86
UTR_ICICI_ZOM_1033,ZOM_1033,000405067890,CREDIT,1396.48,13.31,2026-03-09,PROCESSED,262570.34
UTR_ICICI_ZOM_1035,ZOM_1035,000405067890,DEBIT_REFUND,-454.09,0.0,2026-03-11,PROCESSED,262116.25
UTR_ICICI_ZOM_1037,ZOM_1037,000405067890,CREDIT,599.14,3.55,2026-03-13,PROCESSED,262715.39
UTR_ICICI_ZOM_1039,ZOM_1039,000405067890,CREDIT,948.46,13.62,2026-03-15,PROCESSED,263663.85
UTR_ICICI_ZOM_1041,ZOM_1041,000405067890,CREDIT,277.31,2.64,2026-03-17,PROCESSED,263941.16
UTR_ICICI_ZOM_1043,ZOM_1043,000405067890,CREDIT,918.78,13.19,2026-03-19,PROCESSED,264859.94
UTR_ICICI_ZOM_1045,ZOM_1045,000405067890,CREDIT,462.26,6.64,2026-03-21,PROCESSED,265322.2
UTR_ICICI_ZOM_1047,ZOM_1047,000405067890,CREDIT,937.45,8.93,2026-03-23,PROCESSED,266259.65
UTR_ICICI_ZOM_1049,ZOM_1049,000405067890,CREDIT,934.4,5.55,2026-03-25,PROCESSED,267194.05
UTR_ICICI_ZOM_1051,ZOM_1051,000405067890,CREDIT,432.14,0.26,2026-03-02,PROCESSED,267626.19
UTR_ICICI_ZOM_1053,ZOM_1053,000405067890,CREDIT,749.91,0.45,2026-03-04,PROCESSED,268376.1
UTR_ICICI_ZOM_1055,ZOM_1055,000405067890,CREDIT,1137.21,16.33,2026-03-06,PROCESSED,269513.31
UTR_ICICI_ZOM_1057,ZOM_1057,000405067890,CREDIT,610.35,5.82,2026-03-08,PROCESSED,270123.66
UTR_ICICI_ZOM_1059,ZOM_1059,000405067890,CREDIT,747.59,7.13,2026-03-10,PROCESSED,270871.25
UTR_ICICI_FLP_2001,FLP_2001,000405067890,CREDIT,13064.19,7.72,2026-03-02,PROCESSED,283935.44
UTR_ICICI_FLP_2003,FLP_2003,000405067890,CREDIT,12899.89,185.28,2026-03-04,PROCESSED,296835.33
UTR_ICICI_FLP_2005,FLP_2005,000405067890,CREDIT,935.63,5.56,2026-03-06,PROCESSED,297770.96
UTR_ICICI_FLP_2007,FLP_2007,000405067890,CREDIT,3077.98,1.82,2026-03-08,PROCESSED,300848.94
UTR_ICICI_FLP_2009,FLP_2009,000405067890,CREDIT,583.26,8.38,2026-03-10,PROCESSED,301432.2
UTR_ICICI_FLP_2011,FLP_2011,000405067890,CREDIT,984.89,0.58,2026-03-12,PROCESSED,302417.09
UTR_ICICI_FLP_2013,FLP_2013,000405067890,CREDIT,1576.63,15.02,2026-03-14,PROCESSED,303993.72
UTR_ICICI_FLP_2015,FLP_2015,000405067890,CREDIT,0.0,0.0,2026-03-16,CANCELLED,303993.72
UTR_ICICI_FLP_2017,FLP_2017,000405067890,CREDIT,8525.32,5.04,2026-03-18,PROCESSED,312519.04
UTR_ICICI_FLP_2019,FLP_2019,000405067890,CREDIT,594.73,0.35,2026-03-20,PROCESSED,313113.77
UTR_ICICI_FLP_2021,FLP_2021,000405067890,CREDIT,8504.14,81.04,2026-03-22,PROCESSED,321617.91
UTR_ICICI_FLP_2023,FLP_2023,000405067890,CREDIT,5055.46,2.99,2026-03-24,PROCESSED,326673.37
UTR_ICICI_FLP_2025,FLP_2025,000405067890,CREDIT,1510.46,8.97,2026-03-01,PROCESSED,328183.83
UTR_ICICI_FLP_2027,FLP_2027,000405067890,CREDIT,8482.71,80.84,2026-03-03,PROCESSED,336666.54
UTR_ICICI_FLP_2029,FLP_2029,000405067890,CREDIT,544.51,0.32,2026-03-05,PROCESSED,337211.05
UTR_ICICI_FLP_2031,FLP_2031,000405067890,CREDIT,991.74,0.59,2026-03-07,PROCESSED,338202.79
UTR_ICICI_FLP_2033,FLP_2033,000405067890,CREDIT,3064.19,18.18,2026-03-09,PROCESSED,341266.98
UTR_ICICI_FLP_2035,FLP_2035,000405067890,CREDIT,8530.09,50.62,2026-03-11,PROCESSED,349797.07
UTR_ICICI_FLP_2037,FLP_2037,000405067890,CREDIT,1509.64,0.9,2026-03-13,PROCESSED,351306.71
UTR_ICICI_FLP_2039,FLP_2039,000405067890,CREDIT,1550.28,9.2,2026-03-15,PROCESSED,352856.99
UTR_ICICI_FLP_2041,FLP_2041,000405067890,CREDIT,5044.88,2.97,2026-03-17,PROCESSED,357901.87
UTR_ICICI_FLP_2043,FLP_2043,000405067890,CREDIT,492.28,7.07,2026-03-19,PROCESSED,358394.15
UTR_ICICI_FLP_2045,FLP_2045,000405067890,CREDIT,8462.53,80.65,2026-03-21,PROCESSED,366856.68
UTR_ICICI_FLP_2047,FLP_2047,000405067890,CREDIT,8584.33,5.06,2026-03-23,PROCESSED,375441.01
UTR_ICICI_FLP_2049,FLP_2049,000405067890,CREDIT,2993.97,17.77,2026-03-25,PROCESSED,378434.98
UTR_ICICI_FLP_2051,FLP_2051,000405067890,CREDIT,1498.49,21.52,2026-03-02,PROCESSED,379933.47
UTR_ICICI_FLP_2053,FLP_2053,000405067890,CREDIT,5002.1,71.85,2026-03-04,PROCESSED,384935.57
UTR_ICICI_FLP_2055,FLP_2055,000405067890,CREDIT,2983.77,17.71,2026-03-06,PROCESSED,387919.34
UTR_ICICI_FLP_2057,FLP_2057,000405067890,CREDIT,1514.02,0.9,2026-03-08,PROCESSED,389433.36
UTR_ICICI_FLP_2059,FLP_2059,000405067890,CREDIT,910.29,8.67,2026-03-10,PROCESSED,390343.65
