utr,order_reference,account_number,transaction_type,deposit_amount,gateway_charge_deducted,clearing_date,settlement_status,running_balance
UTR_HDFC_ZOM_1002,ZOM_1002,50200012345678,CREDIT,760.44,0.72,2026-03-03,PROCESSED,250760.44
UTR_HDFC_ZOM_1004,ZOM_1004,50200012345678,CREDIT,250.47,4.21,2026-03-05,PROCESSED,251010.91
UTR_HDFC_ZOM_1006,ZOM_1006,50200012345678,CREDIT,766.08,6.38,2026-03-07,PROCESSED,251776.99
UTR_HDFC_ZOM_1008,ZOM_1008,50200012345678,CREDIT,1373.93,23.08,2026-03-09,PROCESSED,253150.92
UTR_HDFC_ZOM_1010,ZOM_1010,50200012345678,CREDIT,424.24,0.4,2026-03-11,PROCESSED,253575.16
UTR_HDFC_ZOM_1012,ZOM_1012,50200012345678,CREDIT,286.22,0.27,2026-03-13,PROCESSED,253861.38
UTR_HDFC_ZOM_1014,ZOM_1014,50200012345678,CREDIT,1177.76,1.11,2026-03-15,PROCESSED,255039.14
UTR_HDFC_ZOM_1016,ZOM_1016,50200012345678,CREDIT,462.33,0.44,2026-03-17,PROCESSED,255501.47
UTR_HDFC_ZOM_1018,ZOM_1018,50200012345678,CREDIT,588.62,9.89,2026-03-19,PROCESSED,256090.09
UTR_HDFC_ZOM_1020,ZOM_1020,50200012345678,CREDIT,596.69,10.02,2026-03-21,PROCESSED,256686.78
UTR_HDFC_ZOM_1022,ZOM_1022,50200012345678,CREDIT,783.49,0.74,2026-03-23,PROCESSED,257470.27
UTR_HDFC_ZOM_1024,ZOM_1024,50200012345678,CREDIT,1370.37,23.02,2026-03-25,PROCESSED,258840.64
UTR_HDFC_ZOM_1026,ZOM_1026,50200012345678,CREDIT,1409.1,15.13,2026-03-02,PROCESSED,260249.74
UTR_HDFC_ZOM_1028,ZOM_1028,50200012345678,CREDIT,947.18,10.17,2026-03-04,PROCESSED,261196.92
UTR_HDFC_ZOM_1030,ZOM_1030,50200012345678,CREDIT,1652.99,1.56,2026-03-06,PROCESSED,262849.91
UTR_HDFC_ZOM_1032,ZOM_1032,50200012345678,CREDIT,1394.85,14.97,2026-03-08,PROCESSED,264244.76
UTR_HDFC_ZOM_1034,ZOM_1034,50200012345678,CREDIT,967.64,0.91,2026-03-10,PROCESSED,265212.4
UTR_HDFC_ZOM_1036,ZOM_1036,50200012345678,CREDIT,1143.31,12.27,2026-03-12,PROCESSED,266355.71
UTR_HDFC_ZOM_1038,ZOM_1038,50200012345678,CREDIT,604.81,0.57,2026-03-14,PROCESSED,266960.52
UTR_HDFC_ZOM_1040,ZOM_1040,50200012345678,CREDIT,588.81,9.89,2026-03-16,PROCESSED,267549.33
UTR_HDFC_ZOM_1042,ZOM_1042,50200012345678,CREDIT,253.48,2.11,2026-03-18,PROCESSED,267802.81
UTR_HDFC_ZOM_1044,ZOM_1044,50200012345678,CREDIT,419.77,4.51,2026-03-20,PROCESSED,268222.58
UTR_HDFC_ZOM_1046,ZOM_1046,50200012345678,CREDIT,602.87,10.12,2026-03-22,PROCESSED,268825.45
UTR_HDFC_ZOM_1048,ZOM_1048,50200012345678,CREDIT,783.29,13.16,2026-03-24,PROCESSED,269608.74
UTR_HDFC_ZOM_1050,ZOM_1050,50200012345678,CREDIT,1676.98,18.0,2026-03-01,PROCESSED,271285.72
UTR_HDFC_ZOM_1052,ZOM_1052,50200012345678,CREDIT,1132.04,19.01,2026-03-03,PROCESSED,272417.76
UTR_HDFC_ZOM_1054,ZOM_1054,50200012345678,CREDIT,752.66,0.71,2026-03-05,PROCESSED,273170.42
UTR_HDFC_ZOM_1056,ZOM_1056,50200012345678,CREDIT,937.7,15.75,2026-03-07,PROCESSED,274108.12
UTR_HDFC_ZOM_1058,ZOM_1058,50200012345678,CREDIT,780.85,8.38,2026-03-09,PROCESSED,274888.97
UTR_HDFC_ZOM_1060,ZOM_1060,50200012345678,CREDIT,1158.74,12.44,2026-03-11,PROCESSED,276047.71
UTR_HDFC_FLP_2002,FLP_2002,50200012345678,CREDIT,534.81,4.45,2026-03-03,PROCESSED,276582.52
UTR_HDFC_FLP_2004,FLP_2004,50200012345678,CREDIT,908.27,9.75,2026-03-05,PROCESSED,277490.79
UTR_HDFC_FLP_2006,FLP_2006,50200012345678,CREDIT,3021.12,2.86,2026-03-07,PROCESSED,280511.91
UTR_HDFC_FLP_2008,FLP_2008,50200012345678,CREDIT,563.68,0.53,2026-03-09,PROCESSED,281075.59
UTR_HDFC_FLP_2010,FLP_2010,50200012345678,CREDIT,929.66,9.98,2026-03-11,PROCESSED,282005.25
UTR_HDFC_FLP_2012,FLP_2012,50200012345678,CREDIT,926.95,9.95,2026-03-13,PROCESSED,282932.2
UTR_HDFC_FLP_2014,FLP_2014,50200012345678,CREDIT,1524.93,16.37,2026-03-15,PROCESSED,284457.13
UTR_HDFC_FLP_2016,FLP_2016,50200012345678,CREDIT,556.39,0.53,2026-03-17,PROCESSED,285013.52
UTR_HDFC_FLP_2018,FLP_2018,50200012345678,CREDIT,4963.31,83.37,2026-03-19,PROCESSED,289976.83
UTR_HDFC_FLP_2020,FLP_2020,50200012345678,DEBIT_REFUND,-13017.58,0.0,2026-03-21,PROCESSED,276959.25
UTR_HDFC_FLP_2022,FLP_2022,50200012345678,CREDIT,583.37,9.79,2026-03-23,PROCESSED,277542.62
UTR_HDFC_FLP_2024,FLP_2024,50200012345678,CREDIT,3039.43,25.31,2026-03-25,PROCESSED,280582.05
UTR_HDFC_FLP_2026,FLP_2026,50200012345678,CREDIT,910.27,15.29,2026-03-02,PROCESSED,281492.32
UTR_HDFC_FLP_2028,FLP_2028,50200012345678,CREDIT,1590.4,1.5,2026-03-04,PROCESSED,283082.72
UTR_HDFC_FLP_2030,FLP_2030,50200012345678,CREDIT,548.19,4.57,2026-03-06,PROCESSED,283630.91
UTR_HDFC_FLP_2032,FLP_2032,50200012345678,CREDIT,920.49,15.46,2026-03-08,PROCESSED,284551.4
UTR_HDFC_FLP_2034,FLP_2034,50200012345678,CREDIT,5092.58,4.81,2026-03-10,PROCESSED,289643.98
UTR_HDFC_FLP_2036,FLP_2036,50200012345678,CREDIT,8368.79,140.57,2026-03-12,PROCESSED,298012.77
UTR_HDFC_FLP_2038,FLP_2038,50200012345678,CREDIT,8483.66,70.66,2026-03-14,PROCESSED,306496.43
UTR_HDFC_FLP_2040,FLP_2040,50200012345678,CREDIT,959.76,7.99,2026-03-16,PROCESSED,307456.19
UTR_HDFC_FLP_2042,FLP_2042,50200012345678,CREDIT,557.78,4.65,2026-03-18,PROCESSED,308013.97
UTR_HDFC_FLP_2044,FLP_2044,50200012345678,CREDIT,8454.96,142.02,2026-03-20,PROCESSED,316468.93
UTR_HDFC_FLP_2046,FLP_2046,50200012345678,CREDIT,4995.25,4.72,2026-03-22,PROCESSED,321464.18
UTR_HDFC_FLP_2048,FLP_2048,50200012345678,CREDIT,12820.57,215.35,2026-03-24,PROCESSED,334284.75
UTR_HDFC_FLP_2050,FLP_2050,50200012345678,CREDIT,1587.4,1.5,2026-03-01,PROCESSED,335872.15
UTR_HDFC_FLP_2052,FLP_2052,50200012345678,CREDIT,8418.92,90.36,2026-03-03,PROCESSED,344291.07
UTR_HDFC_FLP_2054,FLP_2054,50200012345678,CREDIT,12800.24,215.01,2026-03-05,PROCESSED,357091.31
UTR_HDFC_FLP_2056,FLP_2056,50200012345678,CREDIT,12875.8,216.28,2026-03-07,PROCESSED,369967.11
UTR_HDFC_FLP_2058,FLP_2058,50200012345678,CREDIT,3053.44,32.78,2026-03-09,PROCESSED,373020.55
UTR_HDFC_FLP_2060,FLP_2060,50200012345678,CREDIT,1504.26,25.26,2026-03-11,PROCESSED,374524.81
